,reg_param,number_units_layers,number_units_bottleneck,dropout_rate,number_layers,whether_dropout,whether_regularizer,overfit_metric,val1_loss,val2_avg_recon_error,model_score
0,0.28663346570096493,30,10,0.013681034716420943,2,False,False,0.00044876144966110587,0.001145593007095158,0.0010889333023931446,0.0006401718527320388
1,0.25991941152839965,45,10,0.03993687485133952,3,False,False,0.00046272517647594213,0.0010688588954508305,0.0009248009554486365,0.00046207577897269434
2,0.180631398055013,45,15,0.046394788195191224,1,False,True,0.00046272517647594213,0.0010688588954508305,0.0009248009554486365,0.00046207577897269434
3,0.25619713127986965,30,5,0.012902354593270689,2,False,True,0.00044876144966110587,0.001145593007095158,0.0010889333023931446,0.0006401718527320388
4,0.10291923912608206,30,10,0.04489052444506065,2,True,False,-0.00036698393523693085,0.006021120119839907,0.0060067433998871236,0.006373727335124054
5,0.17208788003143205,60,15,0.043434259170697986,1,True,False,0.00010090554133057594,0.0019113421440124512,0.0019326833263460805,0.0018317777850155046
6,0.1387645854325153,30,5,0.010294825176973036,2,False,True,0.00044876144966110587,0.001145593007095158,0.0010889333023931446,0.0006401718527320388
7,0.12109872244731112,30,15,0.010888783602872399,2,True,True,-0.00020779483020305634,0.029198067262768745,0.028470570130548434,0.02867836496075149
8,0.20628217500754642,60,5,0.027968158801922507,3,True,False,0.00037879403680562973,0.009710773825645447,0.009973469715039993,0.009594675678234363
9,0.14025076893328942,30,10,0.04821837027679381,2,True,True,-6.303936243057251e-05,0.03235509991645813,0.032073541810310406,0.03213658117274098
10,0.2960433477177916,60,5,0.038430563695818154,2,True,True,-0.000193033367395401,0.03507586196064949,0.03532450524602366,0.03551753861341906
11,0.2782325015814162,30,15,0.026989826678478365,3,True,True,-9.094178676605225e-05,0.034352026879787445,0.03397141648038498,0.03406235826715103
12,0.1341335349682185,30,10,0.015523793918687523,3,True,False,5.5752694606781006e-05,0.0059128995053470135,0.005747926831353971,0.00569217413674719
13,0.1146248621685194,45,5,0.0382271649970216,1,False,True,0.00046272517647594213,0.0010688588954508305,0.0009248009554486365,0.00046207577897269434
14,0.1575314728205167,45,10,0.04228406074990217,3,True,True,-0.000208243727684021,0.03521401435136795,0.03554512793815263,0.03575337166583665
15,0.14196764858098757,60,10,0.039739627791930354,2,False,True,0.0004074806929565966,0.00066473608603701,0.0004357875903622944,2.830689740569779e-05
16,0.2525453667405828,30,5,0.012431957302669777,2,False,False,0.00044876144966110587,0.001145593007095158,0.0010889333023931446,0.0006401718527320388
17,0.171681897637671,60,15,0.04789643851181062,1,False,True,0.0004074806929565966,0.00066473608603701,0.0004357875903622944,2.830689740569779e-05
18,0.20062649765612206,30,5,0.04902760195681925,2,False,False,0.00044876144966110587,0.001145593007095158,0.0010889333023931446,0.0006401718527320388
19,0.2989278534100437,60,15,0.020145733704320757,2,True,False,0.00030361837707459927,0.002167756436392665,0.0021042679455375805,0.0018006495684629812
20,0.21624239948196966,45,10,0.03238778010788107,2,False,False,0.00046272517647594213,0.0010688588954508305,0.0009248009554486365,0.00046207577897269434
21,0.11743009782472745,45,15,0.022034928375145847,2,True,True,-0.000256415456533432,0.02853863313794136,0.02780242366485142,0.028058839121384852
22,0.2786494209756738,60,10,0.0465579714707293,3,True,False,0.00026922766119241714,0.004175520036369562,0.004220342503500493,0.003951114842308076
23,0.18386921740464657,60,10,0.036320922849118704,2,False,True,0.0004074806929565966,0.00066473608603701,0.0004357875903622944,2.830689740569779e-05
24,0.20758229944568374,60,15,0.02059922734274747,3,False,True,0.0004074806929565966,0.00066473608603701,0.0004357875903622944,2.830689740569779e-05
25,0.11303238321043461,60,10,0.035359695459779704,1,True,False,0.0003644111566245556,0.004280095919966698,0.004298040636503986,0.003933629479879431
26,0.2911757140361013,60,15,0.04012324803652208,1,False,False,0.0004074806929565966,0.00066473608603701,0.0004357875903622944,2.830689740569779e-05
27,0.2370111828059562,45,10,0.035627011452547874,1,True,False,0.00033951411023736,0.005123983137309551,0.005073523855488782,0.004734009745251422
28,0.16787368833192615,30,5,0.03623130855207385,3,False,True,0.00044876144966110587,0.001145593007095158,0.0010889333023931446,0.0006401718527320388
29,0.20016783060382148,30,5,0.0258374313844787,1,False,True,0.00044876144966110587,0.001145593007095158,0.0010889333023931446,0.0006401718527320388
